id,source,dest
379,9,10
380,9,11
381,9,12
382,9,13
383,10,9
384,10,11
385,10,12
386,10,13
387,11,9
388,11,10
389,11,12
390,11,13
391,12,9
392,12,10
393,12,11
394,12,13
395,13,9
396,13,10
397,13,11
398,13,12
399,15,16
400,16,15
401,20,21
402,21,20
403,22,23
404,23,22
405,25,26
406,26,25
407,83,35
408,35,83
409,39,40
410,40,39
411,44,45
412,45,44
413,46,47
414,47,46
415,48,49
416,48,50
417,49,48
418,49,50
419,50,48
420,50,49
421,53,54
422,54,53
423,57,58
424,57,59
425,57,60
426,57,61
427,58,57
428,58,59
429,58,60
430,58,61
431,59,57
432,59,58
433,59,60
434,59,61
435,60,57
436,60,58
437,60,59
438,60,61
439,61,57
440,61,58
441,61,59
442,61,60
443,64,65
444,64,66
445,65,64
446,65,66
447,66,64
448,66,65
449,73,74
450,74,73
451,78,79
452,79,78
453,90,91
454,91,90
455,131,132
456,132,131
457,133,134
458,134,133
459,172,173
460,173,172
461,179,180
462,180,179
